Metric,Value2024
Male,0.471285876687657
Female,0.528714123312343
Under 18 Years,0.243987022442489
18 to 24 Years,0.0949430954540229
25 to 34 Years,0.140562531134642
35 to 44 Years,0.120770478611299
45 to 54 Years,0.112697824726334
55 to 64 Years,0.122552338131794
65 to 74 Years,0.0987047988861781
75 Years and Over,0.0657819106132407
Race:  White,0.353121128127834
Race:  Black or African American,0.549330046366667
Race:  American Indian and Alaska Native,0.00179463270702142
Race: Asian,0.0229278698156829
Race:  Native Hawaiian and Other Pacific Islander,0.000466221308229764
Race:  Some Other Race,0.0263510838048768
Race: Two or More Races,0.046009017869688
Hispanic or Latino (of any race),0.0470755789446793
Labor Force Participation Rate and Size (civilian population 16 years and over),0.565781392034985
Prime-Age Labor Force Participation Rate and Size (civilian population 25-54),0.769615080863922
Work from Home,0.0946978207144462
Armed Forces Labor Force,0.00308604178402606
"Veterans, Age 18-64",0.0470176275449361
"Veterans Labor Force Participation Rate and Size, Age 18-64",0.657827991699331
Commute via Public Transportation,0.00771897165965915
No High School Diploma,0.112174293283947
High School Graduate,0.304408776397356
"Some College, No Degree",0.222303675695141
Associate's Degree,0.08987318980374
Bachelor's Degree,0.138500913136302
Postgraduate Degree,0.132739151683515
Homeowner Vacancy,0.0230551103439773
Rental Vacancy,0.110121018724788
Renter-Occupied Housing Units (% of Occupied Units),0.485956509404049
Owner-Occupied Housing Units (% of Occupied Units),0.514043490595951
Occupied Housing Units with No Vehicle Available (% of Occupied Units),0.112631631648337
Poverty Level (of all people),0.247330214980072
Households Receiving Food Stamps/SNAP,0.222993608250864
Enrolled in Grade 12 (% of total population),0.0115341874337391
Disconnected Youth3,0.0475563009103977
Children in Single Parent Families (% of all children),0.573907906950578
Uninsured,0.135788992025101
"With a Disability, Age 18-64",0.148049527359872
"With a Disability, Age 18-64, Labor Force Participation Rate and Size",0.346747601918465
Foreign Born,0.0379810701375672
Speak English Less Than Very Well (population 5 yrs and over),0.0220899840995789
