NAICS,Industry,Empl,Avg Ann Wages,LQ,Empl Change,Ann %,Total Demand,Exits,Transfers,Empl Growth,Ann % Growth
622110,General Medical and Surgical Hospitals ,5634,72004,1.69,-239,-0.008,422,211,220,-9,-0.002
621111,Offices of Physicians (except Mental Health Specialists) ,4089,103508,2.64,-28,-0.001,328,152,171,6,0.001
611110,Elementary and Secondary Schools ,4053,48226,0.93,113,0.006,367,188,195,-16,-0.004
524126,Direct Property and Casualty Insurance Carriers ,3407,73819,14.45,-2774,-0.112,251,108,153,-10,-0.003
722513,Limited-Service Restaurants ,3294,19036,1.4,-299,-0.017,612,277,340,-5,-0.002
722511,Full-Service Restaurants ,2980,24739,1.09,301,0.022,506,227,288,-9,-0.003
611310,"Colleges, Universities, and Professional Schools ",2391,60421,1.49,292,0.026,200,97,111,-9,-0.004
921140,"Executive and Legislative Offices, Combined ",1874,54638,1.97,167,0.019,174,78,102,-7,-0.004
621610,Home Health Care Services,1495,36667,1.49,113,0.016,196,100,79,17,0.011
561720,Janitorial Services ,1431,24627,1.97,-35,-0.005,185,94,96,-5,-0.003
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers) ,1397,29292,1.03,-56,-0.008,204,99,115,-9,-0.007
551114,"Corporate, Subsidiary, and Regional Managing Offices ",1384,83180,1.08,413,0.073,112,46,67,-1,-0.001
813110,Religious Organizations ,1256,25392,1.52,-133,-0.02,126,63,69,-6,-0.005
455211,Warehouse Clubs and Supercenters ,1142,28783,1.3,37,0.007,160,75,89,-4,-0.003
623110,Nursing Care Facilities (Skilled Nursing Facilities) ,1019,49130,1.25,122,0.026,110,58,61,-9,-0.009
441110,New Car Dealers ,959,82331,1.67,17,0.004,100,45,58,-3,-0.003
322130,Paperboard Mills ,902,102630,58.3,149,0.037,65,34,50,-18,-0.02
493110,General Warehousing and Storage ,847,50952,0.94,98,0.025,95,40,58,-3,-0.004
624410,Child Care Services ,803,24025,1.29,194,0.057,99,48,58,-7,-0.009
561320,Temporary Help Services,790,37110,0.62,-314,-0.065,78,36,48,-6,-0.008
541110,Offices of Lawyers,786,102907,1.3,14,0.004,56,27,32,-3,-0.004
322291,Sanitary Paper Product Manufacturing ,765,77346,53.15,368,0.14,67,31,45,-9,-0.011
492110,Couriers and Express Delivery Services,761,50039,1.39,208,0.066,82,34,48,0,0
721110,Hotels (except Casino Hotels) and Motels ,737,24684,0.92,-73,-0.019,104,48,56,-1,-0.001
561730,Landscaping Services,701,48870,1.28,18,0.005,79,32,50,-2,-0.004
327120,Clay Building Material and Refractories Manufacturing ,687,68884,61.83,196,0.07,65,28,39,-3,-0.004
455110,Department Stores ,637,35314,1.28,60,0.02,89,42,50,-2,-0.003
339993,"Fastener, Button, Needle, and Pin Manufacturing ",618,48297,239.74,-18,-0.006,55,24,36,-4,-0.007
