FIPS,Region,NetCommuting
13009,"Baldwin County, Georgia",-39.2815
13021,"Bibb County, Georgia",23963.3661
13023,"Bleckley County, Georgia",-1784.9099
13035,"Butts County, Georgia",-1612.438
13079,"Crawford County, Georgia",-3477.9142
13153,"Houston County, Georgia",-4254.4724
13159,"Jasper County, Georgia",-3796.6858
13169,"Jones County, Georgia",-7393.3206
13171,"Lamar County, Georgia",-2352.5845
13193,"Macon County, Georgia",-936.513
13207,"Monroe County, Georgia",-4216.1587
13225,"Peach County, Georgia",-1070.9617
13237,"Putnam County, Georgia",-2523.7881
13269,"Taylor County, Georgia",-865.9993
13289,"Twiggs County, Georgia",-613.4873
13293,"Upson County, Georgia",-2945.4911
13319,"Wilkinson County, Georgia",45.2741
