SOC,Occupation,Empl,Mean Ann Wages2,LQ,Unempl,Unempl Rate,Online Job Ads,Empl Change,Ann %,Total Demand,Exits,Transfers,Empl Growth,Ann % Growth
29-1141,Registered Nurses,2779,87600,1.61,n/a,n/a,n/a,80,0.006,133,77,58,-2,-0.001
41-2031,Retail Salespersons,2628,32400,1.37,n/a,n/a,n/a,-65,-0.005,352,173,193,-14,-0.005
35-3023,Fast Food and Counter Workers,2512,26500,1.31,n/a,n/a,n/a,-296,-0.022,564,258,306,0,0
41-2011,Cashiers,1743,27700,1.09,n/a,n/a,n/a,-46,-0.005,290,162,155,-27,-0.016
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1681,40400,1.13,n/a,n/a,n/a,131,0.016,201,83,126,-7,-0.004
11-1021,General and Operations Managers,1577,114400,0.86,n/a,n/a,n/a,146,0.02,118,36,84,-3,-0.002
43-4051,Customer Service Representatives,1484,42100,1.07,n/a,n/a,n/a,-134,-0.017,168,80,105,-17,-0.011
53-7065,Stockers and Order Fillers,1424,36600,1.01,n/a,n/a,n/a,147,0.022,229,96,128,5,0.003
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1343,33000,1.19,n/a,n/a,n/a,-85,-0.012,183,94,93,-4,-0.003
31-1122,Personal Care Aides,1254,27900,0.76,n/a,n/a,n/a,400,0.08,204,112,79,13,0.011
35-3031,Waiters and Waitresses,1228,26300,1.04,n/a,n/a,n/a,24,0.004,229,98,138,-8,-0.006
43-9061,"Office Clerks, General",1187,39700,0.93,n/a,n/a,n/a,-148,-0.023,119,67,67,-15,-0.012
31-1131,Nursing Assistants,1146,37200,1.56,n/a,n/a,n/a,-7,-0.001,153,75,82,-3,-0.003
53-3032,Heavy and Tractor-Trailer Truck Drivers,1060,55900,1,n/a,n/a,n/a,34,0.007,102,46,59,-2,-0.002
13-1199,"Business Operations Specialists, All Other",873,75900,1.52,n/a,n/a,n/a,-26,-0.006,72,29,44,-1,-0.002
13-1031,"Claims Adjusters, Examiners, and Investigators",845,75300,5.49,n/a,n/a,n/a,-677,-0.111,47,21,34,-7,-0.009
31-9092,Medical Assistants,830,39900,1.99,n/a,n/a,n/a,70,0.018,107,38,63,6,0.007
35-2014,"Cooks, Restaurant",814,33000,1.1,n/a,n/a,n/a,123,0.033,130,56,66,7,0.009
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,793,40700,1.31,n/a,n/a,n/a,17,0.004,112,40,72,0,0
43-1011,First-Line Supervisors of Office and Administrative Support Workers,790,70000,1.03,n/a,n/a,n/a,-78,-0.019,67,31,41,-5,-0.006
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",789,40100,0.88,n/a,n/a,n/a,-92,-0.022,77,44,38,-5,-0.007
49-9071,"Maintenance and Repair Workers, General",742,48200,0.95,n/a,n/a,n/a,-4,-0.001,66,34,34,-2,-0.002
