SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
11-1011,Chief Executives,239900,71400,324200,48300,103100,192000,265700,365900
11-1021,General and Operations Managers,114400,50200,146500,46100,60700,88800,136700,211600
11-1031,Legislators,59500,24700,76900,21400,29800,43800,76200,128300
11-2011,Advertising and Promotions Managers,125800,67600,154900,67200,75900,115700,161300,202400
11-2021,Marketing Managers,143100,86700,171400,79800,103400,138300,163300,208200
11-2022,Sales Managers,137100,73400,168900,65600,90400,120900,167600,221800
11-2032,Public Relations Managers,137800,86400,163600,81200,98500,121400,163200,215100
11-2033,Fundraising Managers,115000,70100,137400,64900,81800,102400,143200,164500
11-3012,Administrative Services Managers,128700,70700,157700,66300,83400,115700,152500,201000
11-3013,Facilities Managers,126000,75000,151500,73100,83400,112700,150800,217800
11-3021,Computer and Information Systems Managers,157200,99400,186200,87900,122300,154500,177200,224700
11-3031,Financial Managers,157200,84600,193500,78000,102300,146300,182200,251900
11-3051,Industrial Production Managers,138800,93500,161500,83100,113000,135600,165900,179800
11-3061,Purchasing Managers,125200,85100,145200,77600,98400,111200,159500,179200
11-3071,"Transportation, Storage, and Distribution Managers",120500,69700,145900,58600,89500,112100,145400,181700
11-3111,Compensation and Benefits Managers,135900,86300,160600,80200,100500,128200,160600,199500
11-3121,Human Resources Managers,133700,73800,163700,65000,91600,119900,153300,211500
11-3131,Training and Development Managers,84800,70300,92100,70900,70900,79100,88100,110000
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",90300,56900,107000,52400,66700,83500,107500,143700
11-9021,Construction Managers,112500,66700,135300,64700,75200,103400,135200,185500
11-9031,"Education and Childcare Administrators, Preschool and Daycare",50600,37300,57300,35500,40200,41800,57500,70300
11-9032,"Education Administrators, Kindergarten through Secondary",98000,81400,106300,78700,86400,91400,106000,125400
11-9033,"Education Administrators, Postsecondary",121200,69600,146900,65600,79400,99000,149800,204100
11-9039,"Education Administrators, All Other",130400,56700,167200,51300,70200,106700,115100,195700
11-9041,Architectural and Engineering Managers,143300,103200,163300,97000,117200,143000,159700,190600
11-9051,Food Service Managers,65400,41900,77200,37600,50400,62900,69100,102500
11-9071,Gambling Managers,90400,55800,107700,50400,66000,78600,109200,148200
11-9072,"Entertainment and Recreation Managers, Except Gambling",78700,47600,94200,44200,55900,73400,98000,124500
11-9081,Lodging Managers,62200,38500,74100,37900,42100,56500,71800,91900
11-9111,Medical and Health Services Managers,154500,87500,188000,78100,107500,140500,184800,243700
11-9121,Natural Sciences Managers,105900,53700,132000,51600,63600,104800,130900,157800
11-9131,Postmasters and Mail Superintendents,85500,78200,89100,77100,80500,84700,90400,96900
11-9141,"Property, Real Estate, and Community Association Managers",68200,38500,83000,36300,44300,57300,80600,114200
11-9151,Social and Community Service Managers,80500,56400,92500,56100,59400,73200,89100,112000
11-9161,Emergency Management Directors,76800,46600,91900,44400,53100,69500,93000,122400
