FIPS,Region,Population
13009,"Baldwin County, Georgia",43642
13021,"Bibb County, Georgia",156578
13023,"Bleckley County, Georgia",12430
13035,"Butts County, Georgia",26496
13079,"Crawford County, Georgia",12225
13153,"Houston County, Georgia",169649
13159,"Jasper County, Georgia",15929
13169,"Jones County, Georgia",28673
13171,"Lamar County, Georgia",19571
13193,"Macon County, Georgia",11864
13207,"Monroe County, Georgia",29664
13225,"Peach County, Georgia",28560
13237,"Putnam County, Georgia",22855
13269,"Taylor County, Georgia",7786
13289,"Twiggs County, Georgia",7803
13293,"Upson County, Georgia",28029
13319,"Wilkinson County, Georgia",8747
